Region,Place name,Place type,Rating,Reviews,Price,Delivery option,Dine in option,Takeout option
C,Dim Kavu,Others,True,206.0,$$,False,False,False
C,Коферум,Cafe,True,24.0,$$,False,False,True
C,Кофейня Світ Чаю,Coffee shop,True,11.0,$$,False,False,True
C,Кофейня Starcoff,Coffee shop,True,331.0,$$,False,True,True
C,"Кофейня ""Friend Zone""",Coffee shop,True,12.0,$$,False,True,True
C,Racers Coffee Shop,Espresso bar,True,367.0,$$,False,True,True
C,Займемся Кофе,Coffee shop,True,200.0,$$,False,True,True
C,Кофейня Rit Rit,Coffee shop,True,292.0,$$,False,False,True
C,Кав'ярня My coffee,Coffee shop,True,31.0,$$,False,True,True
C,LENЬ. Coffee & desserts.,Coffee shop,True,125.0,$$,True,True,True
C,SOVA COFFEE,Coffee shop,True,112.0,$$,False,True,True
C,Кава Тайм,Coffee shop,True,14.0,$$,False,False,True
C,Skver кафе,Cafe,True,18.0,$$,False,True,True
C,Кафе на Георгіївській,Cafe,True,806.0,$,False,True,True
C,Khosper,Cafe,True,609.0,$$,False,True,True
C,Lekontina Шоколадна Майстерня,Cafe,True,172.0,$$,True,True,True
C,Lecker,Cafe,True,234.0,$$,True,True,True
C,Veterano Coffee,Coffee shop,True,136.0,$$,False,False,True
C,VEIN,Cafe,True,166.0,$$,True,True,True
C,Coffee Drive,Coffee shop,True,10.0,$$,False,True,True
J,G COFFEE,Coffee shop,True,1596.0,$$,True,True,False
J,Kavun,Coffee shop,True,1785.0,$$,True,True,False
J,Buns Brew Bar,Coffee shop,True,459.0,$$,False,False,True
J,Coffee House,Cafe,True,329.0,$$,False,False,True
J,"""Точка кофе""",Espresso bar,True,14.0,$$,False,False,True
J,Your Coffee,Cafe,True,569.0,$$,False,True,False
J,KOFEiN,Cafe,True,860.0,$$$,False,True,True
J,"Perfect Coffee, КАВ'ЯРНЯ",Espresso bar,True,124.0,$$,False,True,True
J,Misceva kavyarnya,Coffee shop,True,898.0,$$,False,True,True
J,Dzhi,Cafe,True,1195.0,$$,True,True,True
J,Gangster coffee shop,Others,True,347.0,$$,True,False,False
J,Crema Caffe Poltava,Coffee shop,True,12.0,$$,False,False,True
J,COFFBOY,Coffee shop,True,112.0,$$,False,True,True
J,Wake Up Coffee,Coffee shop,True,17.0,$$,False,False,True
J,Lviv Handmade Chocolate,Others,True,1376.0,$$,False,True,True
J,"ПЕРША ДЕГУСТАЦІЙНА ЗАЛА КАВИ ""GANGSTER_COFFEE SHOP 3""",Others,True,37.0,$$,False,False,False
J,Aroma kava,Cafe,True,226.0,$$,False,True,True
J,Koffishka,Coffee shop,True,716.0,$$,False,True,True
J,ЗАКУТОК - coffee hookah point,Coffee shop,True,15.0,$$,False,False,False
J,CoffeePot,Coffee shop,True,18.0,$$,False,True,False
F,Coffee 66,Cafe,True,15.0,$$,False,False,True
F,Godshot Coffee,Cafe,True,726.0,$$,False,True,True
F,Verona,Others,True,1345.0,$$,True,True,False
F,Prostir.coffee Таврик,Coffee shop,True,26.0,$$,False,True,False
F,I love coffee,Coffee shop,True,485.0,$$,False,True,True
F,coffee House,Coffee shop,True,279.0,$$,False,True,True
F,Дом Кофе,Coffee shop,True,241.0,$$,False,True,True
F,CoffeeOk,Coffee shop,True,18.0,$$,False,False,True
F,Кофе с Совой,Espresso bar,True,46.0,$$,False,False,True
F,Prostir.coffee,Coffee shop,True,587.0,$$,True,True,True
F,Don Marco coffee shop,Coffee shop,True,593.0,$$,False,True,True
F,HOTCUP,Cafe,True,103.0,$$,False,False,True
F,Koko,Coffee shop,True,1201.0,$$,False,True,True
F,Coffee house,Coffee shop,True,67.0,$$,False,False,True
F,Coffeehouse Na Poshtovomu Provulku,Coffee shop,True,275.0,$$,False,True,True
F,Just Coffee Kherson,Espresso bar,True,27.0,$$,False,False,True
F,Don Marco,Coffee shop,True,304.0,$$,False,True,True
F,Green house,Cafe,True,598.0,$$,True,True,True
F,Kofemolka,Coffee shop,True,97.0,$$,False,False,True
B,Art Coffee,Espresso bar,True,11.0,$$,False,False,False
B,Art Coffee - Інтернет Магазин Кави та Чаю,Others,True,12.0,$$,True,False,False
B,Coffeeshop GRANO,Cafe,True,14.0,$$,False,False,True
B,"Мастерская ""Кофе на разлив""",Others,True,15.0,$$,False,False,False
B,Coffeeсть,Coffee shop,True,38.0,$$,False,True,True
B,The Boiler Room,Coffee shop,True,98.0,$$,False,True,False
B,Dim Kavy,Espresso bar,True,118.0,$$,False,False,False
B,"Интернет-магазин ""Kava-e""",Others,True,121.0,$$,False,False,False
B,Coffee House,Others,True,132.0,$$,False,False,False
B,Jays : Coffee Brewers,Others,True,167.0,$$,False,False,True
B,Caffisimo,Espresso bar,True,223.0,$$,False,False,False
B,MY COFFEE,Coffee shop,True,341.0,$$,False,True,True
B,"Kaffe ""Na Peskah""",Cafe,True,385.0,$$,False,True,True
B,LittleTalk Coffee,Coffee shop,True,414.0,$$,False,True,True
B,Столовая BUFET,Cafe,True,440.0,$$,True,True,True
B,Svit kavy,Coffee shop,True,488.0,$$,False,True,True
B,Comeback coffee & more,Cafe,True,807.0,$$,False,True,True
B,Coffeelab Roasters,Coffee shop,True,837.0,$$,False,True,True
B,Cholla & Joshua,Espresso bar,True,1482.0,$$,False,True,False
B,Dobra Kava,Cafe,True,1656.0,$$,True,True,False
A,Смажимо каву в Одесі. Обсмажувальна №2,Coffee shop,True,335.0,$$,False,True,True
A,Traveler`s Coffee,Coffee shop,True,2700.0,$$,True,True,True
A,Кофе База Одесса | Coffee Baza,Others,True,10.0,$$,False,False,False
A,We Roast Coffee in Odessa,Coffee shop,True,122.0,$$,False,True,True
A,Burso_Coffee,Coffee shop,True,21.0,$$,False,True,True
A,Foundation Coffee Roasters,Espresso bar,True,1415.0,$$,True,True,False
A,Red Cup Coffee Roasters,Others,True,15.0,$$,False,False,False
A,Krem Kafe,Coffee shop,True,64.0,$$,False,True,False
A,FAB.,Others,True,47.0,$$,False,True,True
A,Zheto,Coffee shop,True,2141.0,$$,False,True,True
A,Eclair&Coffee,Espresso bar,True,36.0,$$,False,False,False
A,Coffee Room,Coffee shop,True,202.0,$$,False,True,True
